Step,TotEng,Hs
1309500.0000000000,-6475.3579099999997,-6471.9218799999999
1314000.0000000000,-6475.0649400000002,-6471.9658200000003
1318500.0000000000,-6474.8808600000002,-6471.9228499999999
1323000.0000000000,-6475.3115200000002,-6472.0180700000001
1327500.0000000000,-6475.2211900000002,-6471.9233400000003
1332000.0000000000,-6475.0610399999996,-6472.0019499999999
1336500.0000000000,-6474.7705100000003,-6471.9643599999999
1341000.0000000000,-6475.1621100000002,-6472.0122099999999
1345500.0000000000,-6475.4130900000000,-6472.0097699999997
1350000.0000000000,-6475.6528300000000,-6471.9941399999998
1354500.0000000000,-6475.0649400000002,-6471.9804700000004
1359000.0000000000,-6475.2636700000003,-6471.9726600000004
1363500.0000000000,-6474.4370099999996,-6471.9755900000000
1368000.0000000000,-6475.1547899999996,-6471.9287100000001
1372500.0000000000,-6474.9790000000003,-6471.9770500000004
1377000.0000000000,-6475.0253899999998,-6471.9682599999996
1381500.0000000000,-6475.1494100000000,-6471.9619100000000
1386000.0000000000,-6475.2377900000001,-6471.9570299999996
1390500.0000000000,-6475.3012699999999,-6472.0078100000001
1395000.0000000000,-6475.3095700000003,-6471.9794899999997
1399500.0000000000,-6475.3847699999997,-6471.9453100000001
1404000.0000000000,-6475.1298800000004,-6471.9438499999997
1408500.0000000000,-6474.9829099999997,-6471.9682599999996
1413000.0000000000,-6475.4492200000004,-6471.9321300000001
1417500.0000000000,-6475.3046899999999,-6471.9750999999997
1422000.0000000000,-6475.1210899999996,-6471.9653300000000
1426500.0000000000,-6475.4111300000004,-6471.9960899999996
1431000.0000000000,-6474.7573199999997,-6471.9697299999998
1435500.0000000000,-6474.9609399999999,-6471.8798800000004
1440000.0000000000,-6475.0727500000003,-6471.9829099999997
1444500.0000000000,-6475.5151400000004,-6472.0351600000004
1449000.0000000000,-6474.9096700000000,-6471.9257799999996
1453500.0000000000,-6475.5019499999999,-6471.9790000000003
1458000.0000000000,-6475.4755900000000,-6471.9658200000003
1462500.0000000000,-6474.9506799999999,-6471.9296899999999
1467000.0000000000,-6474.8754900000004,-6472.0244100000000
1471500.0000000000,-6475.1538099999998,-6472.0000000000000
1476000.0000000000,-6475.3671899999999,-6471.9326199999996
1480500.0000000000,-6475.3198199999997,-6471.9428699999999
1485000.0000000000,-6475.1577100000004,-6471.9384799999998
1489500.0000000000,-6474.8491199999999,-6471.9355500000001
1494000.0000000000,-6474.8818400000000,-6471.9716799999997
1498500.0000000000,-6474.7665999999999,-6471.9423800000004
1503000.0000000000,-6475.1079099999997,-6472.0024400000002
1507500.0000000000,-6475.1767600000003,-6471.9228499999999
1512000.0000000000,-6474.7348599999996,-6471.9150399999999
1516500.0000000000,-6475.1709000000001,-6472.0073199999997
1521000.0000000000,-6474.6147499999997,-6471.9331099999999
1525500.0000000000,-6474.6796899999999,-6471.9770500000004
1530000.0000000000,-6475.3232399999997,-6471.9545900000003
1534500.0000000000,-6475.2075199999999,-6472.0317400000004
1539000.0000000000,-6474.9980500000001,-6471.9394499999999
1543500.0000000000,-6475.3505900000000,-6471.9492200000004
1548000.0000000000,-6475.0009799999998,-6471.9716799999997
1552500.0000000000,-6474.5004900000004,-6471.9365200000002
1557000.0000000000,-6474.9799800000001,-6471.9570299999996
1561500.0000000000,-6475.0786099999996,-6471.9540999999999
1566000.0000000000,-6475.1342800000002,-6471.9536099999996
1570500.0000000000,-6474.6113299999997,-6471.9189500000002
1575000.0000000000,-6474.9077100000004,-6471.9902300000003
1579500.0000000000,-6475.1870099999996,-6471.9575199999999
1584000.0000000000,-6474.8295900000003,-6471.9536099999996
1588500.0000000000,-6475.2206999999999,-6471.9628899999998
1593000.0000000000,-6475.0459000000001,-6471.9936500000003
1597500.0000000000,-6474.5859399999999,-6471.9067400000004
1602000.0000000000,-6474.8803699999999,-6471.9247999999998
1606500.0000000000,-6474.7299800000001,-6471.9643599999999
1611000.0000000000,-6475.1538099999998,-6471.9487300000001
1615500.0000000000,-6475.0068400000000,-6471.9653300000000
1620000.0000000000,-6475.1245099999996,-6471.9350599999998
1624500.0000000000,-6475.3364300000003,-6471.9506799999999
1629000.0000000000,-6475.2050799999997,-6472.0053699999999
1633500.0000000000,-6474.7719699999998,-6471.9311500000003
1638000.0000000000,-6475.0761700000003,-6471.9682599999996
1642500.0000000000,-6474.6645500000004,-6471.9594699999998
1647000.0000000000,-6475.1040000000003,-6471.9853499999999
1651500.0000000000,-6475.2470700000003,-6471.9443400000000
1656000.0000000000,-6475.2612300000001,-6471.9428699999999
1660500.0000000000,-6475.0322299999998,-6471.9018599999999
1665000.0000000000,-6475.5234399999999,-6471.9668000000001
1669500.0000000000,-6475.1547899999996,-6471.9121100000002
1674000.0000000000,-6475.0361300000004,-6471.9111300000004
1678500.0000000000,-6475.0014600000004,-6472.0092800000002
1683000.0000000000,-6475.2695299999996,-6471.9614300000003
1687500.0000000000,-6475.2675799999997,-6471.9902300000003
1692000.0000000000,-6475.0795900000003,-6471.9335899999996
1696500.0000000000,-6475.2793000000001,-6471.9731400000001
1701000.0000000000,-6475.3818400000000,-6472.0083000000004
1705500.0000000000,-6475.0927700000002,-6471.9887699999999
1710000.0000000000,-6474.9145500000004,-6471.9624000000003
1714500.0000000000,-6474.9599600000001,-6471.9687500000000
1719000.0000000000,-6475.0644499999999,-6471.9306600000000
1723500.0000000000,-6475.1210899999996,-6471.9619100000000
1728000.0000000000,-6475.0854499999996,-6471.9648399999996
1732500.0000000000,-6475.3774400000002,-6471.9326199999996
1737000.0000000000,-6475.2802700000002,-6472.0009799999998
1741500.0000000000,-6475.2875999999997,-6471.9672899999996
1746000.0000000000,-6474.9628899999998,-6471.9453100000001
1750500.0000000000,-6475.0288099999998,-6471.9526400000004
1755000.0000000000,-6475.3022499999997,-6471.9418900000001
1759500.0000000000,-6475.1630900000000,-6471.9458000000004
1764000.0000000000,-6475.0053699999999,-6471.9189500000002
1768500.0000000000,-6475.1757799999996,-6471.9653300000000
1773000.0000000000,-6475.3359399999999,-6471.9316399999998
1777500.0000000000,-6474.9716799999997,-6471.9643599999999
1782000.0000000000,-6474.9702100000004,-6472.0029299999997
1786500.0000000000,-6475.5249000000003,-6471.9321300000001
1791000.0000000000,-6475.2387699999999,-6471.9296899999999
1795500.0000000000,-6474.9643599999999,-6471.9360399999996
1800000.0000000000,-6474.8662100000001,-6471.9301800000003
1804500.0000000000,-6475.4418900000001,-6471.9619100000000
1809000.0000000000,-6475.3178699999999,-6471.9697299999998
1813500.0000000000,-6475.2524400000002,-6471.9716799999997
1818000.0000000000,-6475.4272499999997,-6471.9755900000000
1822500.0000000000,-6474.9370099999996,-6471.9614300000003
1827000.0000000000,-6475.2460899999996,-6471.9296899999999
1831500.0000000000,-6475.4043000000001,-6472.0229499999996
1836000.0000000000,-6474.5585899999996,-6471.9731400000001
1840500.0000000000,-6475.3090800000000,-6471.9872999999998
1845000.0000000000,-6474.8540000000003,-6471.9257799999996
1849500.0000000000,-6475.6567400000004,-6472.0253899999998
1854000.0000000000,-6474.7685499999998,-6471.9834000000001
1858500.0000000000,-6475.3383800000001,-6471.9682599999996
1863000.0000000000,-6475.1782199999998,-6471.9150399999999
1867500.0000000000,-6475.2871100000002,-6471.9204099999997
1872000.0000000000,-6475.0898399999996,-6471.9204099999997
1876500.0000000000,-6474.9736300000004,-6471.9511700000003
1881000.0000000000,-6475.2392600000003,-6471.9628899999998
1885500.0000000000,-6475.3930700000001,-6471.9951199999996
1890000.0000000000,-6475.1259799999998,-6471.9160199999997
1894500.0000000000,-6474.7646500000001,-6471.9155300000002
1899000.0000000000,-6475.2016599999997,-6471.9633800000001
1903500.0000000000,-6474.7050799999997,-6471.9643599999999
1908000.0000000000,-6475.1894499999999,-6471.9721700000000
1912500.0000000000,-6474.7260699999997,-6471.9052700000002
1917000.0000000000,-6474.9872999999998,-6471.9716799999997
1921500.0000000000,-6474.8056600000000,-6471.9233400000003
1926000.0000000000,-6475.1533200000003,-6471.9921899999999
1930500.0000000000,-6474.9350599999998,-6471.9130900000000
1935000.0000000000,-6475.2363299999997,-6471.9858400000003
1939500.0000000000,-6475.1406200000001,-6471.9169899999997
1944000.0000000000,-6475.3637699999999,-6471.9794899999997
1948500.0000000000,-6475.1914100000004,-6471.9204099999997
1953000.0000000000,-6474.8305700000001,-6471.9985399999996
1957500.0000000000,-6475.2172899999996,-6471.9706999999999
1962000.0000000000,-6474.9936500000003,-6472.0371100000002
1966500.0000000000,-6475.0073199999997,-6471.9506799999999
1971000.0000000000,-6474.8642600000003,-6471.9628899999998
1975500.0000000000,-6475.0190400000001,-6471.9379900000004
1980000.0000000000,-6475.1391599999997,-6471.9780300000002
1984500.0000000000,-6475.0083000000004,-6471.9428699999999
1989000.0000000000,-6475.0195299999996,-6471.9741199999999
1993500.0000000000,-6475.0214800000003,-6471.9238299999997
1998000.0000000000,-6474.7685499999998,-6471.8989300000003
2002500.0000000000,-6475.0898399999996,-6471.9658200000003
2007000.0000000000,-6475.2353499999999,-6471.9062500000000
2011500.0000000000,-6475.1953100000001,-6471.9750999999997
2016000.0000000000,-6474.9458000000004,-6471.9101600000004
2020500.0000000000,-6474.4462899999999,-6471.9550799999997
2025000.0000000000,-6474.8652300000003,-6471.9550799999997
