,Step,H_nhc,H_nhc1,H_nhc2
55200,1404000,-6098.51465,-50613.957,51187.2031
55500,1410000,-6099.64209,-50267.4727,50868.6484
55800,1416000,-6102.33594,-50107.9727,50601.9492
56100,1422000,-6100.73828,-50369.2852,50841.0273
56400,1428000,-6103.10645,-50037.6172,50561.1484
56700,1434000,-6102.92383,-49966.6328,50482.543
57000,1440000,-6102.69531,-49987.1953,50598.7148
57300,1446000,-6101.8486299999995,-50057.5195,50641.9883
57600,1452000,-6103.25244,-49905.0234,50511.6094
57900,1458000,-6100.55176,-50078.7461,50689.9141
58200,1464000,-6101.0459,-50291.3086,50885.3281
58500,1470000,-6100.27783,-50369.3203,50832.2148
58800,1476000,-6098.42383,-50569.7305,51097.418
59100,1482000,-6100.790529999999,-50374.5898,50867.9023
59400,1488000,-6102.74902,-50034.9414,50621.5547
59700,1494000,-6100.0473600000005,-50335.6641,50893.7422
60000,1500000,-6100.5083,-50362.1172,50898.7656
60300,1506000,-6097.67188,-50661.2773,51282.5547
60600,1512000,-6098.49805,-50515.7773,51086.3086
60900,1518000,-6097.36475,-50818.8125,51378.2734
61200,1524000,-6097.79248,-50755.2383,51365.8984
61500,1530000,-6100.65771,-50316.3711,50881.4258
61800,1536000,-6096.67676,-50696.4297,51321.5859
62100,1542000,-6101.132320000001,-50266.5938,50841.7031
62400,1548000,-6101.6826200000005,-50164.4219,50763.9492
62700,1554000,-6099.937989999999,-50436.0664,50968.6367
63000,1560000,-6101.04883,-50140.4766,50811.7031
63300,1566000,-6103.86279,-49933.2383,50546.7812
63600,1572000,-6103.67676,-49773.1211,50340.2188
63900,1578000,-6101.58594,-50105.207,50640.8867
64200,1584000,-6101.91895,-50032.1328,50649.5273
64500,1590000,-6103.65088,-49929.2344,50485.7109
64800,1596000,-6106.45117,-49742.1602,50194.2461
65100,1602000,-6104.24561,-49883.1875,50451.6953
65400,1608000,-6100.73438,-50170.1719,50769.9062
65700,1614000,-6100.976070000001,-50284.9102,50844.0742
66000,1620000,-6099.83789,-50374.043,50895.7695
66300,1626000,-6100.33057,-50450.3945,50949.4531
66600,1632000,-6098.9013700000005,-50536.5156,51104.2188
66900,1638000,-6099.47021,-50474.5391,51087.625
67200,1644000,-6101.22705,-50294.8828,50842.7539
67500,1650000,-6102.9423799999995,-50134.1055,50644.1797
67800,1656000,-6100.87598,-50305.6836,50870.4219
68100,1662000,-6100.843260000001,-50316.0781,50987.4062
68400,1668000,-6100.226070000001,-50207.9961,50859.2148
68700,1674000,-6098.54004,-50377.4492,51015.6289
69000,1680000,-6099.17969,-50518.1016,51074.832
69300,1686000,-6100.115720000001,-50388.2031,50929.4453
69600,1692000,-6104.6298799999995,-49781.5508,50430.0156
69900,1698000,-6102.06543,-50130.1875,50685.5898
70200,1704000,-6103.12061,-50193.0273,50659.2578
70500,1710000,-6102.00635,-50137.043,50713.3398
70800,1716000,-6102.53271,-50137.7617,50702.6914
71100,1722000,-6100.48438,-50243.9453,50888.8164
71400,1728000,-6101.84375,-50172.3398,50654.0938
71700,1734000,-6104.20508,-49967.1133,50464.5625
72000,1740000,-6102.16992,-50012.6055,50640.7266
72300,1746000,-6100.74219,-50368.6562,50904.7734
72600,1752000,-6100.65479,-50384.5234,50883.8906
72900,1758000,-6099.96777,-50393.5078,50968.8398
73200,1764000,-6101.62842,-50349.9883,50887.8086
73500,1770000,-6099.86182,-50427.8086,50998.1602
73800,1776000,-6101.06006,-50264.4609,50861.2383
74100,1782000,-6103.2373,-50093.0,50557.7422
74400,1788000,-6103.3501,-50063.25,50544.7305
74700,1794000,-6101.3701200000005,-50395.4141,50797.0273
75000,1800000,-6099.59473,-50474.8828,50980.9688
75300,1806000,-6097.90088,-50594.5391,51143.668
75600,1812000,-6098.72705,-50513.9102,51128.8359
75900,1818000,-6099.85547,-50509.9648,51050.6445
76200,1824000,-6097.41943,-50809.4453,51309.4609
76500,1830000,-6095.91699,-50887.9375,51466.4258
